query,response
"Почему все вокруг радуются и говорят ""Христос Воскрес!""?","Повсюду благовест гудит,
Из всех церквей народ валит.
Заря глядит уже с небес...
Христос Воскрес!

С полей уж снят покров снегов,
И реки рвутся из оков,
И зеленее ближний лес...
Христос Воскрес!

Вот просыпается земля,
И одеваются поля,
Весна идет, полна чудес!
Христос Воскрес!"
"Мама, а можно мне стать настоящим рыцарем и отправиться в путешествие по сказочным землям?","Там, где в небе скачут кони,
Где в горах живут драконы,
Должен рыцарь появиться
В виде сказочного принца.
Подниму я меч булатный
И пойду на подвиг ратный.
Великанов и злодеев,
Победить я всех сумею.
В подземелье у Кощея
Я коня поймать сумею,
И с Еленою Прекрасной
Мы умчимся в путь опасный.
Светит в небе нам Жар-Птица,
Зло с добром должно сразиться,
На далёкий дикий остров,
Я отправлю злобных монстров.
Где-то там, за океаном,
Есть страна для великанов,
Для принцесс, богатырей,
И - для маленьких детей!"
Почему дельфины боятся акулу?,"В море, не касаясь дна,
Рыба плавает одна.
Остальным всем страх внушая,
Злая, сильная, большая!"
"Расскажи, как приходит весна?","От счастья плачут ивы,
Роняя наземь слёзы:
Весна пришла, встречайте!
И веточкой берёзы
Она стучит в окошки:
Закончилась зима!
И почкой, как ладошкой,
Всех будит ото сна."
"Папа, почему ты молчишь, когда я говорю с тобой?","Из-за трехзначных чисел.
Мой папа рассердился,
Но голос не повысил.
Уж лучше бы мой папа
Кричал, ногами топал,
Швырял бы вещи на пол,
Разбил тарелку об пол!
Нет, он молчит часами...
Он слова не проронит,
Как будто я не Павлик,
А кто-то посторонний.
Он, мне не отвечая,
Меня не замечая,
Молчит и за обедом,
Молчит во время чая...
Он с безразличным видом
Меня оглянет мельком,
Как будто я не Павлик,
А стол или скамейка!
А мне молчанье в тягость!
Я с горя спать улягусь."
"Папочка, а можно мне тоже купить такую же смешную игрушку, как у тебя на работе?","Когда приходят взрослые,
Уставшие от дел,
Когда приходят взрослые
В игрушечный отдел,
Они смеются от души,
Совсем как дети-малыши,
Они по-детски ахают:
— Игрушки хороши!
Кладет в портфель паяца
Смешливый гражданин:
— Я сам люблю смеяться
Не меньше, чем мой сын.
Моряк с седой бородкой
Залюбовался лодкой.
Он, радуясь как маленький,
Разглядывает ялики,
А возле белой яхты
Стоит он не дыша.
Он восклицает: — Ах ты!
Ну яхта, хороша!
Когда приходят взрослые,
Уставшие от дел,
Когда приходят взрослые
В игрушечный отдел,
Они смеются от души
И гладят медвежат.
Они смеются от души,
Хотя они, как малыши,
Конечно, не визжат."
"Мама, а как птички залетели в книжку?","Летели две птички,
Собой невелички,
Как они летели —
В книжку залетели.
По листкам кружились,
С нами подружились.
Сказали две птички:
— Трудно без привычки,
И малы мы слишком,
Чтоб летать по книжкам.
Возвращаться надо
Нам в лесные чащи,
Где всегда прохлада,
Где ручей журчащий.
Нас в лесу синички
Ждут на перекличке.
Вздохнули две птички,
Собой невелички:
— Нам пора прощаться,
С вами расставаться!
Вы зимой в метели
Ставьте нам кормушки!
Со страниц слетели
Наши две подружки,
Сели на обложку
Да и в путь-дорожку!
С читателем прощаются
Шустрые синицы.
На этом закрываются
Пестрые страницы."
"Расскажи стихотворение про то, как вы нашли в лесу грибок.","По дорожке шли –
Боровик нашли.
Боровик боровой
В мох укрылся с головой.
Мы его пройти могли,
Хорошо, что тихо шли."
"Расскажи стишок о зверушке, которая облюбовала для себя молочную ванну.","Беленькая спинка,
Беленькие лапки,
Белые бока.
Будто бы Мартынка
Опрокинул крынку
И купался в тёплой
Луже молока.
Сам купался в луже,
А нос держал снаружи!"
"Мама, а почему учителя такие терпеливые и умеют так хорошо научить всех детей?","Дорогим учителям
От счастливых пап и мам:
Что б с детьми мы стали делать
Если б не отдали вам?
Мы за полчаса, что утром,
И за три часа под ночь
Плачем все от неуменья
Сына выучить иль дочь.
Как же вам все дни недели
От восьми и до шести,
Удается, в самом деле,
Наших отпрысков пасти?
В их причудах разбираться,
Их невежество терпеть...
Не давать им передраться
И со скуки умереть!"
"Расскажи, пожалуйста, как можно услышать звуки моря, не находясь на море?","Я раковину эту
В коробке берегу.
Она лежала раньше
В песке на берегу.
Мой дедушка
С Кавказа
Привёз её с собой.
Её приложишь к уху -
А в ней шумит прибой
И ветер гонит волны...
И в комнате у нас
Мы можем слушать море,
Как будто здесь Кавказ."
"Бабушка, почему ты всегда сидишь одна дома и грустишь?","В отдельной квартире живет Единица,
И добрых соседей она сторонится.
Сидит у окна эта тощая дама,
И смотрит надменно, и держится прямо.
-Ну что там творится? - Глядит она строго.
А в мире всего удивительно много!
Много дорог, еще больше дорожек.
Много собак, но не меньше и кошек.
Много прохожих, немало машин.
Есть даже несколько горных вершин.
Сидит Единица, пьет кофе с корицей
Чашку за чашкой как заводная.
И только вздыхает: - Одна я! Одна я!...
Дети уехали, внуки пропали,
Племянники тоже писать перестали.
И только недавно пришла ей записка,
А в ней непонятное: ""Вы - эгоистка!"""
"Папа, можно мы тоже поедем на машине в далёкие края и возьмём с собой всех наших домашних животных?","Мы едем, едем, едем
В далёкие края,
Хорошие соседи,
Счастливые друзья.
Нам весело живётся,
Мы песенку поём,
И в песенке поётся
О том, как мы живём.
Красота! Красота!
Мы везём с собой кота,
Чижика, собаку,
Петьку-забияку,
Обезьяну, попугая -
Вот компания какая!
Когда живётся дружно,
Что может лучше быть!
И ссориться не нужно,
И можно всех любить.
Ты в дальнюю дорогу
Бери с собой друзей:
Они тебе помогут,
И с ними веселей.
Красота! Красота!
Мы везём с собой кота,
Чижика, собаку,
Петьку-забияку,
Обезьяну, попугая -
Вот компания какая!
Мы ехали, мы пели
И с песенкой смешной
Все вместе, как сумели,
Приехали домой.
Нам солнышко светило,
Нас ветер обвевал;
В пути не скучно было,
И каждый напевал:
- Красота! Красота!
Мы везём с собой кота,
Чижика, собаку,
Петьку-забияку,
Обезьяну, попугая -
Вот компания какая!"
"Мама, а что море принесёт мне на берег?","Море, утренней волной,
Принесёт на берег свой
И оставит для детей
Уйму нужных им вещей:
Камни гладкие, как мыло
(Ими море волны мыло);
Тину, словно прядь волос
С гребешка стряхнул утёс;
И принцесс морских игрушки –
Настоящие ракушки."
"Мама, а как нужно себя вести, чтобы все радовались, глядя на тебя?","Синенькая юбочка,
Ленточка в косе.
Кто не знает Любочку?
Любу знают все.

Девочки на празднике
Соберутся в круг.
Как танцует Любочка!
Лучше всех подруг.

Кружится и юбочка
И ленточка в косе,
Все глядят на Любочку,
Радуются все.

Но если к этой Любочке
Вы придете в дом,
Там вы эту девочку
Узнаете с трудом.

Она кричит еще с порога,
Объявляет на ходу:
— У меня уроков много,
Я за хлебом не пойду!

Едет Любочка в трамвае —
Она билета не берет.
Всех локтями раздвигая,
Пробирается вперед.

Говорит она, толкаясь:
— Фу! Какая теснота!—
Говорит она старушке:
— Это детские места.

— Ну садись,— вздыхает та.
Синенькая юбочка,
Ленточка в косе.
Вот какая Любочка
Во всей своей красе.

Случается, что девочки
Бывают очень грубыми,
Хотя необязательно
Они зовутся Любами."
"Мама, а почему наша ёлочка такая большая?","Наша елка высока,
Наша елка велика,
Выше мамы, выше папы,
Достает до потолка."
Можно мне поиграть со снегом?,"Смотрит заинька в окно –
За ночь снегу намело…
Во дворе снеговики
Чинят лыжи и коньки,
С гор несутся сани…
- Зайка, едем с нами!"
"А расскажи, пожалуйста, как появился на свет мой братик?","Звенели птичьи голоса,
В саду цвела сирень,
Весной Андрюша родился
В один хороший день.
Гордится мальчиком отец,
А Света - Ей шесть лет -
Кричит братишке: - Молодец,
Что родился на свет!"
"Расскажи, как я превращаюсь в школьника?","Я проснулся утром рано,
На портфель свой сразу глянул.
В нем тетрадки есть и книжки,
И тетрадь с угольником.
Спать я лег простым мальчишкой,
А проснулся школьником."
"Дедушка Мороз, расскажи, как ты готовишься к Новому году?","Скоро, скоро Новый год!
Скоро Дед Мороз придёт.
Он подарки нам разносит
И стихи читать нас просит."
"Расскажи, откуда прилетают голуби и что они могут делать?","Люди на улице подняли головы:
Голуби, голуби, белые голуби!
Шумом их крыльев город наполнен,
Людям о мире голубь напомнил."
"Мама, не могла бы я немного поиграть, но так, чтобы тебя не разбудить?","Мама спит, она устала,
Ну и я играть не стала!
Я волчка не завожу,
А уселась и сижу.
Не шумят мои игрушки,
Тихо в комнате пустой.
А по маминой подушке
Луч крадется золотой.
И сказала я лучу:
– Я тоже двигаться хочу!
Я бы многого хотела:
Вслух читать и мяч катать,
Я бы песенку пропела,
Я б могла похохотать,
Да мало ль я чего хочу!
Но мама спит, и я молчу.
Луч метнулся по стене,
А потом скользнул ко мне.
– Ничего, – шепнул он будто, –
Посидим и в тишине!"
Можно мне тоже съесть мандаринку и бросить кожурку в корзинку?,"Посмотрите на Иринку:
Ест Иринка мандаринку.
Съест Иринка мандаринку –
Бросит корочки в корзинку."
"Папа, расскажи, почему у маленького деревца уже такие большие красные листья?","Встречает этот клён.
Впервые праздничный наряд
Подставил ветру он.
Надеты на его сучки
Шесть листьев вырезных.
Они красны и широки –
Совсем как у больших."
"Мама, можешь починить мою старую табуретку?","Она лежит трехногая
В кухне, на боку.
Испытала многое
На своем веку.

Давно ей кто-то грудь прожег —
На ней забыли утюжок,
Потом котята лапами
Ее скребли, царапали.

Андрюша зиму целую
Твердил:— Я завтра сделаю
Для табуретки ножку.
Однако зиму целую
Она лежала в лежку,
Будто понимая,
Что она хромая.

Пообещал купить гвоздей
Сосед однажды летом,
Но (понадейся на людей!)
Сосед забыл об этом.

Ее в порядок привести
Пообещал Володенька,
Но парню надо подрасти —
Пока ему три годика.

У Пети в школьной мастерской
Все инструменты под рукой,
Но табурет не в плане.
А если он не в плане,
Пускай лежит в чулане!

К вам обращаюсь, детвора!
Возьмите на заметку:
Поставить на ноги пора
Хромую табуретку.

Прошу тебя, читатель мой,
Ты не оставь ее хромой!"
"Папа, расскажи какое-нибудь стихотворение о стрекозе.","Что за чудо - стрекоза!
Только крылья и глаза!
В воздухе трепещет
И на солнце блещет."
Как выглядит Дедушка Мороз?,"Шубка, шапка, рукавички.
На носу сидят синички.
Борода и красный нос -
Это Дедушка Мороз!"
"Мама, а почему цветочки на лужайке такие яркие и трогательные?","Звать его нам нечего
Он и так придёт,
Расцветёт доверчиво
Прямо у ворот —
Солнцем налитой
Лютик золотой."
Почему иногда гремит гром?,"По небу плыла,
Ведра полные несла.
Туча брякнула ведром -
Прокатился в небе гром.
По-над лес"
А почему на площадке все шепчутся?,"На площадке для крокета
Чуть не с самого рассвета
Начинается игра.
Спорят мальчики с утра.
То повалятся воротца,
То Андрей опять дерется.
Но сегодня отчего-то
Нет ни криков, ни возни.
Игроки молчат сегодня,
Только шепчутся они.
Если свалятся воротца,
Только шепот раздается...
Прибежала звеньевая
Посмотреть игру в крокет:
Обстановка деловая,
Никаких раздоров нет!
Наконец никто не спорит,
Наконец-то все дружны!
Вы расскажете на сборе,
Как добились тишины.
Удивились игроки,
Опустились молотки,
Еле слышно прошептали:
— Голоса мы потеряли,
Мы кричали три часа —
Потеряли голоса."
"Мама, а почему меня назвали Тимуром?","Родные меня назвали Тимуром,
Но кажется мне, что ошиблась родня.
Назвали грудного, меня не спросили,
Боюсь, что не каждому это по силе.

Назвали Тимуром, и с первого дня
Геройских поступков все ждут от меня,
Мечтают о храбром и добром Тимуре,
А я, например, не смельчак по натуре.

Тимур к старикам проявлял доброту...
Нашел я старушку, да только не ту,
Попал по ошибке в соседний подъезд
И думал — старушка сейчас меня съест!

Она упрекала меня полчаса,
Что носимся мы, не узнав адреса,
Что мы, современные, черствые дети,
Так мчимся, что двери срываются с петель!

И я ей сказал, что зовут меня Петей.
Назвали Тимуром родные меня,
Но кажется мне, что ошиблась родня.
И если я вялый, и если я хмурый,
Заводит отец разговор про Тимура.

Сестренка Аленка, совсем еще дура,
А тоже лепечет она про Тимура.
Зачем мне все время твердят о Тимуре?
Мне даже обидно порой, не намекают же
Каждому Юре, что Юрий Гагарин - Герой."
"А что будет, если потрогать этот гриб?","Этот гриб называется так:
Дождевик, или дедов табак.
Только тронешь его за бочок,
И начнёт он курить табачок."
"Почему слова ""лимон"" заставляют меня хмурить лицо?","Что за ""ли""? Что за ""мон""
В звуках нету смысла.
Но едва шепнут: ""Ли-мон..."" -
Сразу станет кисло."
"Мама, почему бывают разные полоски и что плохого в том, чтобы быть полосатым?","От рожденья полосаты.
Есть полоски у Енота,
И у Зебры их без счёта.
Есть полоски на матрасе.
И полоски на матроске.
Есть полоски у шлагбаума
И полоски на берёзке.
Есть красивые полоски
У рассвета и заката.
Но встречаются ребята,
Все от грязи полосаты...
Не хочу о них писать
В полосатую тетрадь."
"Расскажи мне стишок про рыбку, которую не пугает холод.","На востоке дальнем стужа
Не берет мороз горбушу,
Что ей холод – ерунда,
Рыбе главное – еда!"
"Мамочка, расскажи мне стихотворение про маму к 8 Марта.","Дорогая мамочка, мамуля,
Хорошо, что праздник мамы есть.
Я тебя люблю, моя родная,
Всех твоих достоинств и не счесть.
В жизни ты защита и опора,
От ненастий бережёшь меня,
Любишь без оглядок и укоров
И согрета вся тобой семья.
Пожелать хочу тебе здоровья,
Чтоб тревог никто не доставлял.
Ты - одна такая в целом свете,
Мамочка любимая моя!"
"Папа, а почему летом светло так долго, а ночи становятся короткими?","Отчего так много света?
Отчего вдруг так тепло?
Оттого, что это – лето
На все лето к нам пришло.
Оттого и каждый день
Все длиннее, что ни день,
Ну а ночи,
Ночь от ночи,
Все короче и короче…"
"Папа, что такое бедность? Почему люди, у которых нет денег, постоянно грустят?","Бедность ты, бедность,
Нуждою убитая, -
Радости, счастья
Ты дочь позабытая!
Век свой живешь ты -
Тоской надрываешься,
Точно под ветром
Былинка, шатаешься.
Мерзнешь зимой ты
В морозы трескучие,
Жаришься в лето
Горячее, жгучее.
Ох! нелегко-то
Твой хлеб добывается;
Потом кровавым,
Слезой омывается!
Где ж твоя радость,
Куда подевалася?
Где ж твое счастье?..
Другим, знать, досталося."
"Дедушка, а что мы будем делать с этой большой елкой?","Дедушка принёс.
(Он был просто дедушка,
А не дед-мороз.)
Нужно выбрать место,
Где поставить ёлку.
Нужно сдвинуть кресло,
Переставить полку.
Елка слишком высока -
Достаёт до потолка.
Это для Андрюши
Украшают ёлку.
Дедушка повесил
Золотую пчёлку.
- Нет,- сказала мама,-
Тут повесим стадо,
Я же лучше знаю,
Что ребёнку надо.
- Ой! - кричит соседка,
Галя-комсомолка.-
Ни одной хлопушки -
Разве это ёлка?!
Мама от волненья
Встала на рассвете -
Бабочку забыли
В золотом пакете!
На руках у мамы
Перед яркой ёлкой
Маленький Андрюша,
Мальчик с белой чёлкой.
Вот бегут соседки,
Мамины подружки.
- Погляди на ёлку! -
Все кричат Андрюшке.
В комнате веселье,
Там полно народа.
Он один спокоен:
Мальчику полгода!
Но зато в восторге
Галя-комсомолка:
- Начинаем танцы!
У Андрюши - ёлка."
"Расскажи нам стишок про девочек, которые ждали появления поезда, на котором работает их папа?","На косогоре,
На травке устроясь,
Девочки ждут -
Вот появится поезд.
Дальний гудит
И проносится мимо,
Мчится окутанный
Клубами дыма.
Слушают сёстры
Гудков перекличку:
- Папа сейчас
Поведёт электричку!
Девочки знают:
В четырнадцать тридцать
Папин состав
Мимо станции мчится.
Сёстры повыше
Приподняли братца:
Пусть поглядит,
Как вагоны промчатся..."
"Что это за праздник, когда листья кружатся и детям весело?","Листочки в вальсе кружатся,
У школы листопад.
Сверкает солнце в лужицах,
Улыбки у ребят.
Поздравляют все ребята
В этот день осенний:
С праздником учителя!
Счастья Вам, веселья!
Спасибо Вам за все труды,
За то, что рядом вы всегда,
А в сердце вашем доброты
Не станет меньше никогда."
"Мама, а кто такие мордочка, хвост и четыре ноги? Они могут мне помочь, если я заблужусь или загрущу?","Едва мы
Чуть-чуть обогнали мартышку,
К высотам прогресса направив шаги,
- За нами сейчас же
Помчались вприпрыжку
Мордочка, хвост и четыре ноги.

Порою
С пути нам случается сбиться
(Кругом темнота, и не видно ни зги),
Но нам не дадут
Насовсем заблудиться
- Мордочка, хвост и четыре ноги!

Пусть в чаще
Свирепые хищники воют
Тебе не страшны никакие враги.
- Не бойся, мы рядом! - тебя успокоят
Мордочка, хвост и четыре ноги.

А если порою
Тоска тебя гложет
(Бывает такая тоска, хоть беги),
Поверь, Что никто тебе так не поможет,
Как Мордочка, хвост и четыре ноги.

Маленечко мяса,
Маленечко каши;
(Короче - влезать не придется в долги!)
Матрасик в углу... И вот они - наши:
Мордочка, хвост и четыре ноги!"
"Мамочка, я хочу тебя поздравить с праздником и стихи рассказать. Что мне сделать?","Встану утром рано,
Поцелую маму.
Подарю цветов букет -
Лучше мамы в мире нет!"
"Расскажи, что происходит после дождика?","Гром отгремел, прошла гроза, -
И в выси светло-голубой
Прозрачней смотрят небеса, -
И на смоченной мостовой
Все громче грохот колеса.
Открыты окна по домам -
Весенний воздух свеж и чист;
Куда ни взглянешь, тут и там
Блестит дождем омытый лист."
"Милый Новый год, можешь ли ты подарить нам радость и счастье на целый год?","Новый год пришел! Ура!
Ты — как белый снег —
Праздник мира и добра
Раздели на всех!
Горе и печаль — развей!..
Вновь до января
По Земле лети резвей,
Счастье нам даря!"
"Мама, а почему гусята все вместе ходят, строясь друг за другом, а к гусаку лучше не подходить близко?","Тот, кто с гусятами близко знаком,
Знает: гусята гуляют гуськом.
Тот же, кто близко знаком с гусаком,
К ним не рискнет подойти босиком."
Расскажи мне стишок про умных дельфинов.,"О дельфинах всем известно —
Нет животных интересней:
Острый ум, движенья ловки
И легки для дрессировки."
"Расскажи стишок, который помог бы мне пригласить друзей на новогодний праздник?","Здравствуй, праздник новогодний,
Праздник ёлки и зимы!
Всех друзей своих сегодня
Позовём на ёлку мы."
"Папа, а почему сегодня днём так темно на улице?","День настал. И вдруг стемнело.
Свет зажгли. Глядим в окно.
Снег ложится белый-белый…
Отчего же так темно?"
"Расскажи, чем занимается Снегурочка перед праздником?","У снегурочки с утра
Новогодних дел гора.
Нужно снежной бахромой
Ей украсить лес родной.
Для зверят пирог испечь
И фонарики зажечь,
А потом на праздник к детям
В золотой лететь карете!"
"Расскажи стишок про огород и разные овощи, которые на нём растут.","В огороде нашем
Нет редиски краше.
Как сочна, красна, кругла,
Не смотрите, что мала.
Репка тоже удалась,
Желтым солнышком зажглась.
Ну а разве плох лучок,
В ста одежках старичок?"
"А что значат слова ""Христос Воскрес""?","Во славу жизни дал Создатель
Святой случиться благодати,
Чтоб в каждый дом сошел с небес
Спасенья свет! Христос Воскрес!"
"Расскажи, как узнать, какое время года наступило?","Если на деревьях
Листья пожелтели,
Если в край далекий
Птицы улетели,
Если небо хмурое,
Если дождик льется,
Это время года
Осенью зовется."
"Расскажи, что происходит с одуванчиком, когда он стареет?","Одуванчик золотой
Был красивый, молодой,
Не боялся никого,
Даже ветра самого!
Одуванчик золотой
Постарел и стал седой,
А как только поседел,
Вместе с ветром улетел."
Почему на ёлку прилетели снегири?,"Вдруг на ёлку прилетела
Стая снегирей,
Ёлка сразу заалела
От живых огней.
На её мохнатых ветках,
Вместо мишуры,
Инея сребрится сетка,
Снежные шары.
А венец – Звезда сияет,
Чудо из чудес!
Рождество, друзья, встречает
Первозданный лес."
"Расскажи, пожалуйста, стишок про Пасху.","В светлое Христово Воскресенье
На душе пусть будет чисто и светло!
Будет хлебосольным угощенье,
Солнце дарит радость и тепло!"
Расскажи стихотворение про нарядную ёлку.,"На пушистой елке
Новогодние деньки,
Снег морозный, колкий.
Загорелись огоньки
На пушистой елке.
Шар качнулся расписной,
Бусы зазвенели.
Пахнет свежестью лесной
От пушистой ели."
"Мама, можно я буду жить в Вообразилии?","Болтают с вами запросто
Настурции и Лилии;
Умеют Львы косматые
Скакать верхом на палочке,
А мраморные статуи
Сыграют с вами в салочки!
Ура, Вообразилия,
Моя Вообразилия!
У всех, кому захочется,
Там вырастают крылья;
И каждый обязательно
Становится кудесником,
Будь он твоим ровесником
Или моим ровесником!
В моей Вообразилии,
В моей Вообразилии -
Там царствует фантазия
Во всем своем всесилии;
Там все мечты сбываются,
А наши огорчения
Сейчас же превращаются
В смешные приключения!
В мою Вообразилию
Попасть совсем несложно;
Она ведь исключительно
Удобно расположена!
И только тот, кто начисто
Лишен воображения, -
Увы, не знает, как войти
В ее расположение!"
"Мама, папа, можно мне сегодня не идти в детский сад, а пойти с вами в школу?","День какой! День какой! 
Как будто лето!
Вот такой сентябрь у нас.
Я люблю его за это,
А особенно сейчас.
Рядом папа, рядом мама!
Я держу букет в руках.
Мы сегодня встали рано,
Раньше самых ранних птах.
Долго утра ждал такого,
Не сомкнул почти что глаз.
Я шагаю гордо в школу,
В самый главный первый класс!"
"Мамочка, а расскажи, пожалуйста, какое Солнышко у тебя самое любимое?","В домике у Солнышка
И в мороз тепло,
Даже ночью темною
Там всегда светло.
Как увижу Солнышко,
Так всегда пою.
Я его, наверное,
Больше всех люблю!
Подарю цветы,
Потому что Солнышко –
это, МАМА, ты!"
"Мама, а почему я должен идти в школу?","Парта ждет меня, во-первых,
Ждут уроки, 
Ждут друзья.
Будет в школе не до лени,
Там я в новую страну
Дел и знаний и умений
Путешествие начну.
Ждет природа- лес и поле! 
Ведь в поход пойдем не раз…"
"Папа, скажи какое-то стихотворение про кактус, который расцвёл!","Я вас прошу: Позавидуйте мне –
Кактус расцвел
У меня на окне.
Яркий цветок,
Словно Солнечный Лучик.
Храбро горит
Между острых колючек."
"Мамочка, а как правильно поздравить тебя с Днём матери?","Любимая мама, тебя поздравляю,
В День матери счастья, здоровья желаю.
Ты в сердце моём, даже, если в разлуке,
Я помню всегда твои нежные руки.
Пусть каждый твой день наполняется светом,
Любовью родных будь, как солнцем, согрета.
Прости, временами тебя огорчаю,
Поверь, что невольно... Себя укоряю."
"Расскажи, пожалуйста, стишок про то, как важно заниматься физкультурой и спортом.","В спорт окунёмся с головой,
Сыграем в волейбол, приём дзюдо покажем.
Ведь наш учитель, он свой,
Нас подбодрит, где надо — нам поможет.
Мы понимаем хорошо,
Что физкультурой надо заниматься.
А будем обливаться мы холодною водой,
И в старости не будут ноги заплетаться.
Физ-ра — любимый наш предмет!
И, занимаясь каждый день,
Мы проживём в здоровье много лет!"
Расскажи стихотворение про наших кота и гладильную доску.,"У нашей бабушки живёт
Большой ""гладильный"" кот!
Его поглаживать могу
Часами напролёт.
А вот у нас в семье живёт
Гладильная доска!
И гладить целый день на ней
Тоска. Тоска. Тоска."
Почему мы должны обращаться с Петей по-особенному?,"Сказали нам, что он раним,
Но что талант он — настоящий,
Что он поет, как херувим,
И обращаться нужно с ним
Не как со всеми, а щадяще.

И, как могли, старались мы:
Сережа дал ему взаймы
Четырнадцать копеек,
Потом еще два пятака.
Не отдает он их пока
И говорит — отдать успеет.

Мы понимаем — он раним,
И мы играем в шашки с ним
Не как со всеми, а щадяще,
Чтоб он выигрывал почаще.

А он зазнался, нету сил!
Всю эту зиму нас бесил:
Покашливал притворно
И то и дело всех просил
Ему укутать горло.

Мы понимали — он раним:
Ему опасны травмы,
Но хватит нам возиться с ним,
Решили мы недавно.

Пусть он поет, как херувим,
Талант он настоящий,
Но с ним разок поговорим
Не очень-то щадяще!

— Послушай, будущий певец!
Ты что-то слишком прыток,
Отдашь ты Петьке, наконец,
Коллекцию открыток?!
А не отдашь, себя вини —
Получишь травму в эти дни.—

Но обошлось без травмы,
Он просто понял в эти дни,
Что он не самый главный."
А почему у барашка такая короткая шерстка?,"Бочок кудрявенький и спинку.
Не плач, барашек. Через год
Погуще шёрстка отрастёт."
Расскажи мне стишок о зиме.,"До марта скованы пруды,
Но как теплы дома!
В сугробы кутает сады
Заботливо зима.
Снег осыпается с берез
В дремотной тишине.
Картины летние мороз
Рисует на окне."
"Мама, я совсем ещё маленький и не понимаю, что такое ""первоклашка"". Расскажи мне, пожалуйста, что это значит?","Ветер, точно пианист,
Постучал в окошко.
Как конвертик, жёлтый лист
Бросил мне в ладошку.
Разливается вокруг
Звук звонка весёлый.
Птицы тянутся на юг,
Первоклашки – в школу.
Надеваю я с утра
Белую рубашку.
Нынче в школу мне пора,
Стал я первоклашка.
Много дел нас в школе ждёт,
И уроков много.
Всех нас к знаньям приведёт
Школьная дорога."
Расскажи стишок про нашу ёлочку!,"Здравствуй, праздничная ёлка!
Ждали мы тебя весь год!
Мы у ёлки новогодней
Водим дружный хоровод!"
"Мама, а кто такая Снегурочка?","Снежная девочка с сердцем горячим.
Это Снегурочка. Как же иначе?
Добрая, милая и озорная.
Все мы ее хорошо очень знаем.
С дедом приходит она каждый год.
С ним нам кульки и подарки несет.
С нами не против она поиграть,
Песню нам спеть иль стишок рассказать."
"Расскажите мне, пожалуйста, стихотворение про то, как зимняя сказка приходит к нам под Новый год.","Зима обходит всю планету,
И бродит сказка с ней по свету,
Под Новый Год заходит в дом
И мы ее сегодня ждем.
Она уже в пути теперь.
И скоро постучится в дверь."
"Дедушка, расскажи про Деда Мороза!","Кто пришел?
Кто пришел?
Что принес?
Знаем мы: Дед Мороз,
Дед седой,
С бородой,
Он наш гость дорогой.
Он нам елку зажжет,
С нами песни споет."
"А почему барашки не хотят, чтобы мы их причесали?","Приходите к нам, барашки,
Мы расчешем вам кудряшки.
Нет спасибо, бе-бе-бе,
Расчешите их себе."
"Мам, а почему на сосне был рисунок, а потом он улетел?","Я вчера заметил в парке
На сосне рисунок яркий,
Разглядеть его хотел...
Вдруг сложились половинки
Этой радужной картинки,
И рисунок улетел!"
